Stock,Event,Pre-Ban,FF4 @30m,FF4 @1h,FF4 @End,t-stat (FF4),p-val (FF4),CAPM @30m,CAPM @End,t-stat (CAPM),p-val (CAPM),Sig,FF4 Bars/Total
GME,Outage 1 (Pre-Ban),Yes,-14.53\%,-19.15\%,-11.30\%,-1.882,0.0598,-13.86\%,-10.18\%,-1.696,0.0898,*,14/14
GME,Outage 2 (Pre-Ban),Yes,0.89\%,-6.24\%,-6.24\%,-1.589,0.1121,0.89\%,-6.24\%,-1.589,0.1121,,0/6
GME,Outage 3 (Post-Ban),No,-36.25\%,-5.64\%,-60.34\%,-10.432,0.0000,-36.25\%,-63.44\%,-10.968,0.0000,***,9/13
GME,Outage 4 (Post-Ban),No,-6.05\%,—,—,—,—,-6.05\%,—,—,—,,0/12
AMC,Outage 1 (Pre-Ban),Yes,-20.23\%,-21.13\%,-0.72\%,-0.151,0.8802,-19.32\%,-0.54\%,-0.113,0.9096,,14/14
AMC,Outage 2 (Pre-Ban),Yes,-9.55\%,-11.28\%,-11.28\%,-3.619,0.0003,-9.55\%,-11.28\%,-3.619,0.0003,***,0/6
AMC,Outage 3 (Post-Ban),No,-21.72\%,-16.70\%,-51.25\%,-11.168,0.0000,-21.72\%,-52.61\%,-11.464,0.0000,***,9/13
AMC,Outage 4 (Post-Ban),No,-1.64\%,—,—,—,—,-1.64\%,—,—,—,,0/12
