Stock,Event,Pre-Ban,FF4 @30m,FF4 @1h,FF4 @End,t-stat (FF4),p-val (FF4),CAPM @30m,CAPM @End,t-stat (CAPM),p-val (CAPM),Sig,FF4 Bars/Total
GME,Outage 1 (Pre-Ban),Yes,-14.73\%,-19.41\%,-12.62\%,-2.069,0.0386,-14.05\%,-11.72\%,-1.921,0.0547,**,27/27
GME,Outage 2 (Pre-Ban),Yes,-9.73\%,-15.62\%,-15.62\%,-3.840,0.0001,-9.73\%,-15.62\%,-3.840,0.0001,***,0/12
GME,Outage 3 (Post-Ban),No,-34.92\%,-21.29\%,-60.92\%,-10.177,0.0000,-34.92\%,-64.33\%,-10.746,0.0000,***,17/26
GME,Outage 4 (Post-Ban),No,-3.97\%,—,—,—,—,-3.97\%,—,—,—,,0/23
AMC,Outage 1 (Pre-Ban),Yes,-20.53\%,-21.39\%,-1.69\%,-0.340,0.7339,-19.61\%,-1.49\%,-0.299,0.7647,,27/27
AMC,Outage 2 (Pre-Ban),Yes,-24.69\%,-22.39\%,-22.39\%,-6.737,0.0000,-24.69\%,-22.39\%,-6.737,0.0000,***,0/12
AMC,Outage 3 (Post-Ban),No,-23.75\%,-8.22\%,-69.32\%,-14.171,0.0000,-23.75\%,-70.71\%,-14.456,0.0000,***,17/26
AMC,Outage 4 (Post-Ban),No,-1.08\%,—,—,—,—,-1.08\%,—,—,—,,0/23
