Stock,Event,Pre-Ban,CAR @30m,CAR @1h,CAR @End,CAR @End+2h,Price Chg %,t-stat,p-value,Sig,FF Mins/Total
GME,Outage 1 (Pre-Ban),Yes,-14.80\%,-18.39\%,-12.01\%,-7.02\%,-10.10\%,-1.876,0.0606,*,128/128
GME,Outage 2 (Pre-Ban),Yes,-8.80\%,-13.94\%,-14.98\%,-46.40\%,-13.66\%,-3.445,0.0006,***,0/59
GME,Outage 3 (Post-Ban),No,-30.99\%,-18.36\%,-33.87\%,-54.94\%,-28.89\%,-5.842,0.0000,***,57/105
GME,Outage 4 (Post-Ban),No,-5.94\%,-9.56\%,-9.56\%,-9.56\%,-8.71\%,-2.367,0.0180,**,0/51
AMC,Outage 1 (Pre-Ban),Yes,-18.75\%,-19.26\%,0.58\%,12.87\%,0.04\%,0.108,0.9140,,126/126
AMC,Outage 2 (Pre-Ban),Yes,-20.79\%,-17.66\%,-16.64\%,-54.41\%,-12.17\%,-4.521,0.0000,***,0/59
AMC,Outage 3 (Post-Ban),No,-20.40\%,-0.37\%,-62.60\%,-44.85\%,-46.86\%,-12.998,0.0000,***,51/101
AMC,Outage 4 (Post-Ban),No,-1.53\%,-8.68\%,-8.68\%,-8.68\%,-8.58\%,-2.561,0.0104,**,0/50
