Stock,Event,Recovery Start,CAR @+30m,t (@30m),CAR @+1h,t (@1h),CAR @+2h,t (@2h),Sig,FF Bars/Total
GME,Outage 1 (Pre-Ban),2021-01-27 13:40:00,-5.52\%,-1.719,-1.32\%,-0.310,-11.62\%,-2.009,**,13/13
GME,Outage 2 (Pre-Ban),2021-01-27 17:01:00,4.24\%,1.527,1.56\%,0.397,-9.29\%,-1.672,*,0/12
GME,Outage 3 (Post-Ban),2021-01-28 10:51:00,-80.00\%,-28.790,-8.17\%,-2.079,-13.26\%,-2.386,**,12/12
GME,Outage 4 (Post-Ban),2021-01-28 21:00:00,—,—,—,—,—,—,,0/13
AMC,Outage 1 (Pre-Ban),2021-01-27 13:40:00,11.18\%,4.393,9.19\%,2.728,14.59\%,3.179,***,13/13
AMC,Outage 2 (Pre-Ban),2021-01-27 17:01:00,-1.69\%,-0.769,-1.12\%,-0.358,-20.98\%,-4.758,***,0/12
AMC,Outage 3 (Post-Ban),2021-01-28 10:51:00,-64.20\%,-29.122,-64.44\%,-20.670,-53.22\%,-12.071,***,12/12
AMC,Outage 4 (Post-Ban),2021-01-28 21:00:00,—,—,—,—,—,—,,0/13
