Stock,Event,Start,End,Duration (min),Pre-Ban,CAR @30min,CAR @1h,CAR @End,CAR @End+2h,Price Change %,t-stat,p-value,Sig
GME,Outage 1 (Pre-Ban),2021-01-27 11:29:00,2021-01-27 13:40:00,131,True,-0.16582704004768833,-0.19885209931728223,-0.1307250144770747,-0.08147324873507059,-10.09679027911059,-1.2832886942312924,0.19939095212156932,
GME,Outage 2 (Pre-Ban),2021-01-27 16:03:00,2021-01-27 17:01:00,58,True,-0.08993201461642532,-0.14247497119493613,-0.1528303733793812,-0.4612762538884964,-13.657131780799157,-2.209806886723147,0.02711856757717168,**
GME,Outage 3 (Post-Ban),2021-01-28 08:44:00,2021-01-28 10:51:00,127,False,-0.2881897618107975,-0.16427665926391588,-0.3326024151163133,-0.5516902970501587,-28.886919258149117,-3.6049679109292905,0.00031219150032457677,***
GME,Outage 4 (Post-Ban),2021-01-28 19:10:00,2021-01-28 21:00:00,110,False,-0.030550583557822426,-0.07022626500290173,-0.07022626500290173,-0.07022626500290173,-8.70811997073884,-1.092157160115552,0.2747640287288471,
AMC,Outage 1 (Pre-Ban),2021-01-27 11:29:00,2021-01-27 13:40:00,131,True,-0.18378929777387232,-0.1908433790673793,0.0035911425952617625,0.12003170381603329,0.04174340085943472,0.0604659529996685,0.9517845317843903,
AMC,Outage 2 (Pre-Ban),2021-01-27 16:03:00,2021-01-27 17:01:00,58,True,-0.1879344534555275,-0.159111242470626,-0.14880001022383346,-0.5332500877569603,-12.169312169312155,-3.661343536089573,0.0002508960674301175,***
AMC,Outage 3 (Post-Ban),2021-01-28 08:44:00,2021-01-28 10:51:00,127,False,-0.19782701394006252,-0.0007062273329075941,-0.6295218890736847,-0.4607922365030196,-46.8599033816425,-11.838963268970305,0.0,***
AMC,Outage 4 (Post-Ban),2021-01-28 19:10:00,2021-01-28 21:00:00,110,False,-0.005060519305998757,-0.07797652631309039,-0.07797652631309039,-0.07797652631309039,-8.582995951417008,-2.084214469951702,0.03714066312335351,**
