Stock,Event,Recovery Start,CAR @+30min,t (@30m),CAR @+1h,t (@1h),CAR @+2h,t (@2h),Sig,FF Bars / Total
GME,Outage 1 (Pre-Ban),2021-01-27 13:40:00,-0.0551618860164567,-1.7191284535872333,-0.013179271553698496,-0.31048570100044415,-0.1162000103091026,-2.008786162217158,**,13/13
GME,Outage 2 (Pre-Ban),2021-01-27 17:01:00,0.0424432252157272,1.5273795385029776,0.0156098371618504,0.39721163847379165,-0.09290597213959151,-1.6716764587220647,*,0/12
GME,Outage 3 (Post-Ban),2021-01-28 10:51:00,-0.800023493202253,-28.78997784989279,-0.08168401241219177,-2.0785508568056112,-0.13261290910571946,-2.3861316250111075,**,12/12
GME,Outage 4 (Post-Ban),2021-01-28 21:00:00,,,,,,,,0/13
AMC,Outage 1 (Pre-Ban),2021-01-27 13:40:00,0.11181573981624629,4.392759837107925,0.09187418787764179,2.728406070867188,0.1458799422933714,3.1789845756139843,***,13/13
AMC,Outage 2 (Pre-Ban),2021-01-27 17:01:00,-0.0169434200743801,-0.7686081142268387,-0.0111726306363688,-0.3583804663049281,-0.2097606709467408,-4.7577098669446025,***,0/12
AMC,Outage 3 (Post-Ban),2021-01-28 10:51:00,-0.6419832009628859,-29.1224260091094,-0.6443984240686041,-20.670137161083538,-0.5321713640826372,-12.070503676278747,***,12/12
AMC,Outage 4 (Post-Ban),2021-01-28 21:00:00,,,,,,,,0/13
