Stock,Event,Pre-Ban,CAR @30min (FF4),CAR @1h (FF4),CAR @End (FF4),CAR @30min (CAPM),CAR @End (CAPM),Price Chg %,FF4 bars/Total,t-stat (FF4),p-value (FF4),t-stat (CAPM),p-value (CAPM),Sig
GME,Outage 1 (Pre-Ban),True,-0.1453109288273144,-0.1914570660668369,-0.1129722093585033,-0.1385763105090807,-0.1018291310782516,-8.455974919445186,14/14,-1.8819445447968155,0.0598435454815478,-1.6963178716455825,0.08982569773443161,*
GME,Outage 2 (Pre-Ban),True,0.0088841756122675,-0.0624455282982192,-0.0624455282982192,0.0088841756122676,-0.0624455282982192,-4.996481351161149,0/6,-1.5890038027633644,0.11205953417335501,-1.5890038027633644,0.11205953417335501,
GME,Outage 3 (Post-Ban),False,-0.3624633819527985,-0.0564277229119132,-0.6034435466089961,-0.3624633819527985,-0.6344318964475412,-14.670448564243529,9/13,-10.431918576279495,0.0,-10.967623936201802,0.0,***
GME,Outage 4 (Post-Ban),False,-0.060461234220941,,,-0.060461234220941,,,0/12,,,,,
AMC,Outage 1 (Pre-Ban),True,-0.2022649425440817,-0.211340854616133,-0.0071759484827092,-0.193222539319276,-0.005404854421951,4.514702969980769,14/14,-0.15068839541428306,0.8802215278174574,-0.11349703000990644,0.9096365175773049,
AMC,Outage 2 (Pre-Ban),True,-0.0954546619440475,-0.1128204057380156,-0.1128204057380156,-0.0954546619440475,-0.1128204057380156,-4.787234042553204,0/6,-3.618899696324532,0.0002958582750904881,-3.618899696324532,0.0002958582750904881,***
AMC,Outage 3 (Post-Ban),False,-0.2171954240619416,-0.1670430833025231,-0.5124774186482736,-0.2171954240619416,-0.5260641418428974,-34.881414701803045,9/13,-11.167798558331066,0.0,-11.463877531148212,0.0,***
AMC,Outage 4 (Post-Ban),False,-0.0164042752796217,,,-0.0164042752796217,,,0/12,,,,,
