Stock,Event,Pre-Ban,CAR @30min (FF4),CAR @1h (FF4),CAR @End (FF4),CAR @30min (CAPM),CAR @End (CAPM),Price Chg %,FF4 bars/Total,t-stat (FF4),p-value (FF4),t-stat (CAPM),p-value (CAPM),Sig
GME,Outage 1 (Pre-Ban),True,-0.1472841422409482,-0.1941448995421349,-0.1262101192934416,-0.1405020641809381,-0.1172103830456307,-11.486323735336091,27/27,-2.068955138191756,0.03855029669444576,-1.9214229858055683,0.054678403003047604,**
GME,Outage 2 (Pre-Ban),True,-0.0973454783679578,-0.1561670723791633,-0.1561670723791633,-0.0973454783679578,-0.1561670723791633,-4.083076923076918,0/12,-3.840056589250331,0.0001230059533550154,-3.840056589250331,0.0001230059533550154,***
GME,Outage 3 (Post-Ban),False,-0.3492101958612903,-0.2129357380251346,-0.6092250655780682,-0.3492101958612903,-0.6432615807011157,-36.98894961693597,17/26,-10.177236528876806,0.0,-10.74582387794995,0.0,***
GME,Outage 4 (Post-Ban),False,-0.0396830233259986,,,-0.0396830233259986,,,0/23,,,,,
AMC,Outage 1 (Pre-Ban),True,-0.205334347384873,-0.2138645608229965,-0.0169453070125583,-0.1960950752143649,-0.0149166539285712,1.6250000000000098,27/27,-0.33995222300591227,0.733892507847671,-0.29925392671077206,0.7647463057849855,
AMC,Outage 2 (Pre-Ban),True,-0.2469106382906509,-0.2238813542310931,-0.2238813542310931,-0.2469106382906508,-0.2238813542310931,-3.4001214329083105,0/12,-6.737171891075438,1.6149970250012302e-11,-6.737171891075438,1.6149970250012302e-11,***
AMC,Outage 3 (Post-Ban),False,-0.2374728805551348,-0.082151319215457,-0.6931859354850611,-0.2374728805551348,-0.7070850781790383,-43.251285347043705,17/26,-14.171420808891426,0.0,-14.455573429301053,0.0,***
AMC,Outage 4 (Post-Ban),False,-0.0107911364592212,,,-0.0107911364592212,,,0/23,,,,,
