Stock,Event,Start,End,Duration (min),Pre-Ban,CAR @30min,CAR @1h,CAR @End,CAR @End+2h,Price Change %,FF Mins / Total,t-stat,p-value,Sig
GME,Outage 1 (Pre-Ban),2021-01-27 11:29:00,2021-01-27 13:40:00,131,True,-0.1480351529896181,-0.1839166035902655,-0.1201102260722715,-0.070215994843275,-10.09679027911059,128/128,-1.8760620594154966,0.060646758716763394,*
GME,Outage 2 (Pre-Ban),2021-01-27 16:03:00,2021-01-27 17:01:00,58,True,-0.08799470479269,-0.1394307734166862,-0.1497609748312305,-0.4639635328916391,-13.657131780799157,0/59,-3.445441286298289,0.0005701278087211215,***
GME,Outage 3 (Post-Ban),2021-01-28 08:44:00,2021-01-28 10:51:00,127,False,-0.3099355553570325,-0.183581448813358,-0.3387311362171619,-0.5494404206471923,-28.886919258149117,57/105,-5.841611497070318,5.169825900708247e-09,***
GME,Outage 4 (Post-Ban),2021-01-28 19:10:00,2021-01-28 21:00:00,110,False,-0.0594491399975274,-0.0956360916744286,-0.0956360916744286,-0.0956360916744286,-8.70811997073884,0/51,-2.36651320745957,0.017956533557873744,**
AMC,Outage 1 (Pre-Ban),2021-01-27 11:29:00,2021-01-27 13:40:00,131,True,-0.1874610012069766,-0.1925764665560923,0.0058102898678211,0.128739550042388,0.0417434008594347,126/126,0.10801907709471624,0.9139805594191992,
AMC,Outage 2 (Pre-Ban),2021-01-27 16:03:00,2021-01-27 17:01:00,58,True,-0.2078980326840697,-0.1765745793168984,-0.1663984103219519,-0.544100475746761,-12.169312169312157,0/59,-4.520756368503544,6.161907161184033e-06,***
AMC,Outage 3 (Post-Ban),2021-01-28 08:44:00,2021-01-28 10:51:00,127,False,-0.2039738969074457,-0.0036547563478991,-0.6259526216893746,-0.4485142924545411,-46.8599033816425,51/101,-12.99776592262119,0.0,***
AMC,Outage 4 (Post-Ban),2021-01-28 19:10:00,2021-01-28 21:00:00,110,False,-0.0152580233163636,-0.0867826071022298,-0.0867826071022298,-0.0867826071022298,-8.582995951417008,0/50,-2.5611536073013386,0.010432521823832586,**
